dataId,region,genre,contentType,title,length,releaseYear,votes,rating,description
98501,India,Drama,movie,The Master Carpenter,140.0,1991,393,8.0,"Perumthachan, a legendary carpenter, follows the stringent social norms of his time. However, when Kannan, his son, grows up to rebel against those very norms, Perumthachan must deal with him."
98535,India,Drama,movie,Balagam,131.0,2023,392,8.3,"Add a Plot
"
97982,United States,Horror,movie,The Belly of the Beast,89.0,2008,398,9.0,"In 2008, 12 Disciples of Satan are released upon the earth, to do battle with 12 Disciples of direct descendants of the Apostles."
97583,India,Action,movie,Ariyavan,-1.0,2023,402,9.2,"The movie is based on the subject of woman empowerment, it's based on real incidents about how girls get caught by cheaters, blackmailed and used, the movies shows how girls should handle such situation and protect themselves."
96898,United States,Drama,movie,Life Ain't Like the Movies,85.0,2021,410,8.1,"The coming age story of a 16 year old quirky black teen. The film follows him as he goes through high school. He deals with various issues like love, death, bullies, and social awkwardness."
96962,India,Action,movie,Raag Desh,135.0,2017,409,8.2,A period film based on the historic 1945 Indian National Army Red Fort Trials.
97042,India,Drama,movie,Used,57.0,2019,408,8.0,Relationship of two sisters entangled them in a dangerous game.
97235,India,Drama,movie,Deya Neya,107.0,1963,406,8.2,The son of a wealthy industrialist aspires to be a singer against the wishes of his father.
96352,United Kingdom,Drama,movie,The Snow Goose,60.0,-1,415,8.1,An aging artist who lives a solitary life as a lighthouse keeper in an Essex fishing village assists a young orphan girl in caring for a wounded snow goose.
96426,India,Drama,movie,Santhosham,120.0,2023,414,9.1,"Depicts the emotional bond between siblings, family values along with a soft touch of humor and a love track that run in parallel."
96754,India,Action,movie,Moori,110.0,2022,411,9.4,"Add a Plot
"
96800,India,Drama,movie,Kasturi Nivasa,152.0,1970,411,8.9,"The story of an extremely generous and righteous man, Ravi Varma, who succumbs to his intention of being generous no matter what happens."
96139,India,Drama,movie,Bhootayyana Maga Ayyu,155.0,1974,418,8.7,"Boothayyana Maga Ayyu is a 1974 Indian Kannada film, directed by ""Siddalingaiah"" and Produced by ""JN Veeraswamy, S P Varadaraj, Siddalingaiah, J Chandulal Jain"".The film Stars ""...                 »
"
95448,United States,Drama,movie,Seahorses,94.0,2014,426,8.7,"A chance meeting between a man and a woman becomes a dramatically intense and darkly comic journey about love, co-dependency and loss."
95550,United States,Drama,movie,One Tree Hill: Always & Forever,-1.0,-1,424,8.3,A cast talk movie on how they spent the nine seasons of One Tree .
94953,India,Drama,movie,Jeene Ki Umeed Tumse Hi,121.0,2021,432,8.7,"The story revolves around various social and political issues of rural and urban India like unemployment poverty and corruption, where Vijay (Brajesh Rai) fights the bad elements of society and tries to improve life of poor and needy."
95029,India,Drama,movie,Ram Mohan Kanchukommala,122.0,2022,431,8.4,"Add a Plot
"
94537,India,Drama,movie,Gini Helida Kathe,138.0,2019,437,8.3,"Gini aka Ganesh, a cab driver meets a passenger Ammu aka Amrutha in his cab. Gini and Ammu click instantly and end up having a funny conversation on various aspects of life. As Gini ...                 »
"
94786,United Kingdom,Drama,movie,National Theater Live: Cyrano de Bergerac,160.0,2019,433,8.8,"An intense, raw and deep revival of Rostand's Cyrano de Bergerac by the Jamie Lloyd Company."
94246,India,Action,movie,Babruvahana,160.0,1977,440,8.9,"Tells the story of Babruvahana, son of Arjuna and the events that eventually lead to a battle between them."
93319,India,Drama,movie,Saptapadi,163.0,1961,452,8.3,"Set in World War II, the reverend Krishnendu runs a military hospital in Bankura. A drunken Anglo-Indian woman soldier is brought to him for treatment and he recognized her as his former love Rina Brown."
93568,India,Drama,movie,Chitrakut,-1.0,2022,449,8.6,"Set against a lush Western Indian landscape during the monsoon season, CHITRAKUT delicately sets the tone, interweaving the lives of Saloni, Shaan, Debu, Alisha and Kim - all converging at ...                 »
"
93596,United Kingdom,Drama,movie,Royal Shakespeare Company: Richard II,180.0,-1,448,8.3,A monarch ordained by God to lead his people. But he is also a man of very human weakness. A man whose vanity threatens to divide the great houses of England and drag his people into a dynastic civil war that will last 100 years.
93044,India,Action,movie,Juliet 2,95.0,2023,456,9.3,"Juliet, an independent woman, is very affectionately attached to her father. One night, she witnesses a dreadful incident that reconnects to her past traumas. Will she be able to prevail over the brutality behind those dark doors?"
93133,India,Drama,movie,Mangalyam,120.0,2022,455,8.3,"Dorababu, a contract killer and Lawyer by profession, never trusts in love and Marriage system, because of his love failure in the past. What factors make Dorababu to gain back the trust on love and marriage"
93143,India,Drama,movie,Baapjanma,121.0,2017,455,8.1,"A social drama involving a retired and widowed intelligence officer who is estranged from his married children, who suddenly becomes terminally ill and then sets out to make amends using unconventional methods, with an unexpected ending."
92034,India,Drama,movie,A Billion Colour Story,105.0,2016,470,8.1,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
92243,India,Drama,movie,Swathi Kiranam,130.0,1992,467,8.3,"The story of a classical singer, who finds it difficult to cope with the rising popularity of a child-prodigy."
90436,India,Drama,movie,Dear Vaappi,138.0,2023,494,9.2,"Basheer, who is a tailor by profession, and his daughter Amira, who is a model and has big dreams about her future."
90691,United States,Action,movie,VGHS: The Movie,125.0,-1,490,8.0,"In a world where professional video gaming is the most popular sport, a hapless young gamer gets the chance to sharpen his skills at an elite academy."
89904,India,Drama,movie,Innale,137.0,1989,503,8.0,"After a serious accident a girl who was hospitalized forgets her past. She stops worrying about her past when she fall in love with a man and finds herself secure with him. But the reality ...                 »
"
89982,India,Horror,movie,Ieandavi,117.0,2021,502,8.7,"Three couples take on an adventurous journey into the forest but soon one of the girls goes missing. Their search for her takes a horrific turn when one of the boys dies. Soon, the group ...                 »
"
90211,United States,Drama,movie,Greencastle,129.0,2012,498,8.4,"Poitier, a single father who works as an Assistant Manager at a small town pet shop, enters a ""quarter-life crisis"" impelled by a recent tragedy. Loneliness and disconnection fatefully lead him toward an unexpected and sublime awakening."
89336,United States,Drama,movie,Ring of Silence,95.0,2019,511,8.5,"When a young girl falls in love with a sweet and charming stranger, she soon finds out that her fairy tale doesn't lead to wonderland, but to a far more seedy underbelly of society."
89351,India,Drama,movie,Swarnakamalam,143.0,1988,511,8.2,"A painter who recently moved into the neighborhood helps his neighbor, a retired cultural dance artist. He helps by painting billboards advertising events in which the artist and his ...                 »
"
89360,India,Drama,movie,Bhoothakkannadi,115.0,1997,511,8.0,Vidyadharan (Mammootty) is in jail and while working finds a link/hole to the outside world. But his vision is distorted through the eye magnifying lens he uses to view because of his fateful past.
88905,United States,Drama,movie,Lost: A Journey in Time,44.0,-1,518,8.0,"What does it mean that Locke is alive? How did the Oceanic 6 get back to the island? And why is the island skipping through time? Those are just some of the questions LOST producers will be...                 »
"
89000,Canada,Action,movie,ReBoot: Daemon Rising,85.0,-1,517,8.5,The battle between the Mainframers and Supervirus Daemon.
89311,India,Drama,movie,Kadambari Aajo,-1.0,2022,512,8.1,"Add a Plot
"
89316,India,Drama,movie,Ayodhi,121.0,2023,511,8.6,Revolves around a man who gets mired in a criminal case in an unexpected circumstance. How he tries to save himself despite detractors lurking in every turn
88500,India,Drama,movie,Colours of Innocence,81.0,2016,525,8.4,"10-year-old Gopal's carefree childhood is disrupted when his father meets with an accident. It becomes difficult for his mother to feed him and his little brother Chottu. Gopal starts ...                 »
"
88512,India,Drama,movie,Maarjaara Oru Kalluvacha Nuna,142.0,2020,525,8.6,"Due to an unfortunate event, Shanthanu leaves home and resides in the outskirts of the city named Ashramam Veedu. During the stay period, there is a twist of fate in Shanthanu's life as he encounters a chain of mysterious events."
88523,United States,Drama,movie,Condition,70.0,2011,525,8.3,Two women escaping a catastrophe look for salvation in sound and nature.
88581,United Kingdom,Drama,movie,Skylight,135.0,2014,523,8.4,"On a bitterly cold London evening, schoolteacher Kyra Hollis receives an unexpected visit from her former lover, Tom Sergeant, a successful and charismatic restaurateur whose wife has recently died."
88646,India,Drama,movie,Kaliyuga,-1.0,2019,523,8.1,"Add a Plot
"
87971,India,Drama,movie,Manku Bhai Foxy Rani,-1.0,2023,534,8.9,"Rajesh, a naive and kind-hearted person lives in a remote village on the outskirts of coastal Mangalore along with his father. While all his friends have girlfriends, Rajesh starts looking for one but it's not as easy as it sounds."
87448,India,Drama,movie,Jaalbandi,-1.0,2022,543,8.9,"After completing his graduation, Anish starts working as an insurance agent in a reputed firm. Due to his poor performance in office, his boss Gouranga da advices him to give an ...                 »
"
87472,United States,Drama,movie,Heaven's Neighbors,115.0,2005,543,8.0,A peek through the keyhole into a world tinged with mental instability. A place where patients and doctors help heal one another through shared faith and friendships.
87749,United Kingdom,Drama,movie,The Black Stuff,110.0,-1,537,8.1,A group of Liverpudlians goes to Middlesborough to lay a tarmac road.
87188,India,Drama,movie,EMI,-1.0,2022,547,8.7,"Add a Plot
"
86750,India,Action,movie,Dheeran,-1.0,2022,555,8.7,"Dheeran is an suspense thriller with drama and deal with drug and the hands behind it it is a classic story of a right man in a wrong place it starts with hero and his friends along with ...                 »
"
86077,India,Drama,movie,Main Raj Kapoor Ho Gaya,-1.0,2023,567,8.0,"A man who despite being born in a world full of hoggish beliefs, chooses to live a life of truth and honesty. He believes the fact that God created everyone as equals. Can he fight the system with his beliefs?"
86106,India,Drama,movie,Roop Nagar Ke Cheetey,175.0,2022,567,9.0,Roop Nagar Ke Cheetey is a fascinating journey of two childhood friends and their contrasting lives in two different cities after an incident that changes their lives forever.
85501,India,Drama,movie,Panchatantram,141.0,2022,578,8.0,"The riveting stories of Sight, Smell, Sound, Taste, and Touch embark on a quest of Peace, Fear, Will, Love, and Tenacity through a Modern-day fairy tale."
85621,India,Drama,movie,Kamaladalam,154.0,1992,576,8.0,"Nandagopan is a respected dance teacher. However, his life takes an unexpected turn when his wife commits suicide causing him to become an alcoholic and compulsive rule breaker."
84888,India,Action,movie,Prithvi,134.0,2010,590,8.3,Prithvi Kumar is an young IAS Officer who works as District Commissioner for Bellary District and whose honesty clashes with the illegal gaNi-dhaNigaLu (mining lords) and the corrupt politicians in the highest seats of power in Karanataka.
85067,India,Drama,movie,Projapati,142.0,2022,586,8.2,"A retired 65-year widower, lives alone as his son, Joy, a wedding planner running his own business, has a very busy schedule. He wishes Joy to be married. Will he be successful?"
84591,India,Drama,movie,Last 6 Hours,120.0,2022,596,8.3,Four robbers come together and plot to rob a place in six hours. But there are some unforeseen problems. How do they deal with them and what will happen to them?
83894,India,Drama,movie,Swayam Krushi,164.0,1987,610,8.4,Story of a cobbler who believes in hard work and righteousness.. This movie is about respecting the importance of manual labor.
83931,United States,Action,movie,In Space with Markiplier: Part 1,255.0,-1,609,9.1,"In this interactive story, the fate of the crew of a spaceship is in your hands. Who will you save, more precisely, who can you save from the dangers of the endless universe?"
84148,India,Drama,movie,Lava Kusa,153.0,1963,605,8.2,This movie deals with the later part of Ramayana written by Valmiki Maharshi and depicts the lives of the sons of Rama & Sita.
84283,United Kingdom,Drama,movie,National Theatre Live: Angels in America Part Two: Perestroika,220.0,2017,602,9.0,"America in the mid-1980s. In the midst of the AIDS crisis and a conservative Reagan administration, New Yorkers grapple with life and death, love and sex, heaven and hell."
84298,United States,Action,movie,Michael Jackson: Smooth Criminal (II),48.0,1988,602,8.5,Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.
84317,India,Drama,movie,Adutha Chodyam,112.0,2019,602,8.4,Indian Malayalam film directed by A.K.S. Nambiar.
82861,United Kingdom,Drama,movie,"Hamlet, Prince of Denmark",210.0,-1,631,8.0,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the Prince cannot decide whether or not he should take vengeance."
83106,India,Drama,movie,10 Nahi 40,-1.0,2022,627,8.6,"An educational entertainer sending a message to the society to understand and care for the elderly.To know their insecurities and fears as they approach the twilight of their lives. The ...                 »
"
83266,India,Drama,movie,Thaen,104.0,2021,623,8.0,Thaen is based on the real-life incident of an economically-backward husband who carried his dead wife to the cremation ground as he was unable to pay for the mortuary van.
81375,India,Drama,movie,Utharam,-1.0,1989,665,8.0,"One fine morning, not any different from every other day, a promising poet shoots herself. Leaving no trace of motive, her husband's best friend and journalist, Balu embarks on a journey to find the truth."
81517,India,Drama,movie,Kayyoppu,95.0,2007,662,8.0,"The movie tells the story about Balachandran, a person with passion for books and literature."
80998,India,Drama,movie,Before You Die,-1.0,2022,674,8.6,"'Before You Die...', a film based on how a cancer patient and her family handle the crisis and trauma superbly well in an exemplary way."
80573,India,Drama,movie,Ottaal,81.0,2014,684,8.2,"Ottaal (The Trap) is an adaptation of one of Anton Chekhov's timeless works, Vanka. A story of the 18th century, but one that has travelled the time and space to be retold in the present ...                 »
"
80079,India,Drama,movie,Kanchivaram,117.0,2008,697,8.1,"A poor silk weaver promises his wife to dress their newborn daughter in a silk saree for her marriage. Facing systemic oppression and the vicissitudes of his fortune, he struggles to keep his word."
78985,India,Drama,movie,Shonar Pahar,140.0,2018,726,8.1,"A story of a unique friendship, a journey of rediscovering the relationships in life."
78992,United Kingdom,Drama,movie,Angels in America: Part I - Millennium Approaches,220.0,2017,725,8.9,The National Theatre's live theatrical production of Tony Kushner's play 'Angels in America' about New Yorkers grappling with the AIDS crisis during the mid-1980s.
79017,India,Drama,movie,Rama Rama Re,112.0,2016,725,8.2,A renowned criminal plans his prison break and tries to run away from his death row as far as he could.
78462,United States,Drama,movie,Shelter in the Storm,90.0,1987,740,9.4,"Four friends wrestle with moving out the town they were born and raised in, when they suddenly find themselves out of work because the towns only factory has been shut down."
78521,Canada,Drama,movie,Les bons débarras,120.0,1980,738,8.0,"A woman is overwhelmed with having to deal with her emotionally unstable daughter, mentally-challenged brother and two suitors while simultaneously trying to run her small firewood business."
78605,India,Drama,movie,Pichhodu,128.0,2019,736,9.5,"A heartfelt story about soulmates. The film revolves around Rishi, who is on the search for true love. Protagonist Rishi lost his mother when he was a kid. She committed suicide due to his ...                 »
"
78625,United Kingdom,Drama,movie,Eric & Ernie,90.0,-1,735,8.0,"A telling of the fledging careers and early days of the comedy duo that was Eric Morecambe and Ernie Wise, from their dance-hall performances of northern England to cult status."
77870,India,Drama,movie,Aathva Rang Premacha,120.0,2022,756,8.6,"'Aathava Rang Premacha' is a story of an ambitious girl, Krutika (Rinku), who wishes to lead a simple life and who desires to lead a simple life, and who desires to fulfill her dreams. ...                 »
"
78039,India,Action,movie,Pathala Bhairavi,192.0,1951,751,8.5,"A poor man, in love with a princess, is persuaded by an evil sorcerer to help him get the blessing of a Goddess."
77625,India,Drama,movie,Aarilirindhu Aruvathu Varai,150.0,1979,763,8.4,A story about life of a common man who is very genuine in his character and struggles to lead a normal life by bearing responsibilities of his siblings.
77718,India,Drama,movie,Jogwa,114.0,2009,760,8.4,Two strangers are forced into a life of servitude to the local deity. They fall in love and want to start a new life but will the wrath of a highly superstitious community let them live in peace?
77135,India,Drama,movie,Garm Hava,146.0,1974,777,8.1,"In post-partition India, a Muslim businessman and his family struggle for their rights in a country which was once their own."
77168,India,Drama,movie,Satyakam,175.0,1969,776,8.2,"The tale begins in the final days of the British Raj in India. A cohort of engineering students graduate a few months before Independence. Satyapriya and Naren are among the graduate ...                 »
"
76561,India,Drama,movie,Chowka,178.0,2017,794,8.1,"Four ambitious and aspiring individuals who end up in jail, are led by a school teacher who shows them hope but also stirs up their passion towards reform."
75893,United States,Drama,movie,Strangers: The Story of a Mother and Daughter,88.0,-1,817,8.1,A woman who left home 20 years ago under acrimonious circumstances finds out that she is terminally ill. She returns home and tries to rebuild her relationship with her embittered mother before she dies.
75543,India,Drama,movie,Yaathra,124.0,1985,828,8.0,"Unnikrishnan (Mammootty), an ex-convict, tells his tragic love story to his fellow passengers in a school bus. An orphan and a forest officer by profession, he falls in love with a local ...                 »
"
74881,United States,Drama,movie,The House Without a Christmas Tree,75.0,-1,850,8.0,"In 1946 Nebraska, a young girl named Addie desperately craves a Christmas tree, but her bitter widower father refuses because of events from the family's past."
75286,India,Action,movie,Daana Veera Soora Karna,233.0,1977,836,8.9,Story of the central hero of Mahabharata who rises from nothing to becoming the world's greatest warrior ever born in history and emerges as the hero of the Kurukshetra war.
74684,United States,Drama,movie,"Live Fast, Die Young",101.0,2008,858,8.3,"After an A-list star accidentally dies at a Christmas party, a group of ten Hollywood insiders seek redemption."
73898,India,Drama,movie,Swathi Muthyam,160.0,1986,886,8.5,"The story is of mentally slow man, whose life is recapped to his grand-daughter. How he meets his wife (who was a widow), earns his living and fights the injustice he and his wife face."
73957,India,Drama,movie,The Eunuch and the Flute Player,115.0,2017,884,8.6,"The film stars Riddhi Sen as Parimal, a trans woman from rural Bengal, and Ritwick Chakraborty as Madhu, a flute player from the Kirtaniya town of Nabadwip."
74083,United States,Drama,movie,Earthwork,93.0,2009,879,8.0,"The story of real-life crop artist Stan Herd. In 1994, Stan risked everything and traveled from Kansas to New York City to create a massive environmental artwork on land owned by Donald Trump."
74123,India,Drama,movie,Reva,159.0,2018,877,8.3,"A 25-year-old Indian man who is brought up in the U.S. visits an ashram near the Narmada River in Gujarat, India to take his will."
74191,India,Drama,movie,Sila Nerangalil Sila Manidhargal,139.0,2022,875,8.0,"The lives of four people from different walks of life is affected by a disastrous road accident. The regret, remorse and realisation these characters undergo makes the crux of the film."
73429,India,Drama,movie,Sudden Rain,182.0,1998,904,8.1,A man and a woman fall in love through exchanging letters but destiny keeps separating them.
73646,India,Horror,movie,Deyyam,98.0,2021,895,8.0,This film explores the competing strengths of a father's love and an evil spirit's will to possess.
73698,India,Drama,movie,Gantumoote,115.0,2019,894,8.1,"A 16-year-old girl embarks on a journey of life where she deals with understanding herself, the changing world, bullying, academic pressure and her transcending journey of first love."
73770,India,Drama,movie,Mullum Malarum,143.0,1978,891,8.3,A boorish villager butts heads with a newly appointed engineer from the city.
73840,United Kingdom,Drama,movie,Hillsborough,100.0,-1,888,8.0,"A number of grieving families in the UK struggle to come to terms with the unexpected and tragic 1989 Hillsborough Disaster, in which 95 football fans were crushed to death."
73848,India,Drama,movie,Kaksparsh,140.0,2012,888,8.0,Uma loses her husband at a very young age and faces many hardships. The only support she gets is from her brother-in-law.
72999,India,Action,movie,Bhairava Dweepam,162.0,1994,921,8.1,A royal prince is raised by adoptive parents and experiences romance and adventure on his way to his destiny.
73016,India,Drama,movie,Rabb Da Radio,121.0,2017,920,8.1,A couple from vastly different economic backgrounds struggle to keep their budding romance alive amidst escalating family pressure.
73040,Canada,Drama,movie,School's Out!,92.0,-1,919,8.2,The Degrassi kids spend one last summer together.
73075,India,Drama,movie,Rickshawala,50.0,2021,918,8.7,"Add a Plot
"
73238,Canada,Drama,movie,"Signed, Sealed, Delivered: Higher Ground",84.0,-1,911,8.0,The postal detectives reunite a couple separated by the aftermath of Hurricane Katrina.
73336,India,Drama,movie,Director,121.0,2022,908,8.7,A film director meets with an accident and his life takes a major turn. What happened before and after the accident and what he is seeing which no one can see.
72403,India,Drama,movie,Tikkhi Mitthi Life,140.0,-1,944,9.1,"When two people have common enemy to fight with, they will eventually create a strong bond. Applying this principle in real life, Hansaben, on her death-bed writes a letter to his Husband ...                 »
"
72565,India,Drama,movie,Sadayam,147.0,1992,937,8.5,"Sadayam follows the final days of a condemned prisoner, for murdering two little girls."
72590,India,Drama,movie,The Seventh Horse of the Sun,130.0,1992,936,8.0,"On a lazy afternoon, a man shares his memories of a storyteller friend who once narrated a convoluted love story with intertwined plots. As these plots unravel, reality mixes with fiction."
72606,India,Drama,movie,Kolkata Chalantika,120.0,2022,935,8.9,"Based on the 2016 Kolkata flyover collapse, the film relates the lives of many people from the city Kolkata, and shows how the unfortunate incident affects them and brings about a change in their lifestyle."
72688,India,Drama,movie,Neetho,130.0,2022,933,8.0,"Can love happen more than once in a lifetime? Can a rebound relationship turn into true love and bind us for a lifetime? Discover love from a different perspective in the romantic drama, Neetho."
71901,India,Drama,movie,Bangarada Manushya,174.0,1972,964,9.0,Rajeeva comes to the village to visit his sister only to find that she's in financial trouble and has lost her husband. He decides to stay and help her out.
72100,India,Drama,movie,The Padma Boatman,126.0,1993,956,8.2,"Hossain, a Bengali Muslim wants to establish a little Utopia on an island in the Padma delta. He doesn't care if the people who populate it are Hindu or Muslim."
72111,India,Drama,movie,Ventilator,143.0,2016,955,8.2,"Gaju Kaka who never makes an appearance is breathing his last in the hospital few days before the Ganpati festival. As the news of his illness spreads, the entire extended family gathers to...                 »
"
72127,India,Drama,movie,Chhalla Mud Ke Nahi Aaya,138.0,2022,954,8.0,"Looking to earn money for his family, a young man in the early 1900s travels to Canada to join a small group of fellow Punjabis working in a lumber mill. While there, the men face difficult...                 »
"
72334,India,Drama,movie,Vichitram,138.0,2022,946,8.4,It's the story of Jasmine and her five sons who get involved into a series of events when they start living in their ancestral home.
72351,India,Action,movie,Jagadeka Veerudu Athiloka Sundari,153.0,1990,945,8.1,A man finds a ring that gives the bearer great power but the goddess to whom the ring belongs wants it back.
71431,India,Drama,movie,Manjadikuru,120.0,2008,985,8.2,"This is story of homecoming from the late 1970s. Ten-years-old Vicky arrives at his grandparents' home in rural Kerala to attend his grandfather's funeral. The disjointed family gathers ...                 »
"
71265,India,Drama,movie,Ponthan Mada,119.0,1994,992,8.0,"Set in 1940s, the low-caste Ponthan Mada bonds with his colonial landlord Sheema Thampuran, who was expelled to British India from England during his youth for supporting the Irish Republican Army."
70579,India,Drama,movie,Chal Man Jeetva Jaiye,123.0,2017,1023,8.6,"Chal Man Jeetva Jaiye recounts the riveting saga of a business family which finds itself at the crossroads, where one wrong decision could end up costing them everything."
70043,India,Drama,movie,Varumayin Niram Sigappu,138.0,1980,1047,8.3,Poetical forces play in the life of an unemployed yet well educated young man.He finds the depth and the beauty of his principles yet fate leaves him in destitution
70073,India,Drama,movie,Moonnam Pakkam,114.0,1988,1046,8.3,An old man spends his life in solitude awaiting his grandson to come for vacation after 6 years. He thought he was the most happiest man in the world until he found out that fate has something unpredictable for him.
70194,Canada,Drama,movie,Rabia and Olivia,86.0,2023,1040,8.1,"After migrating illegally to Canada, Rabia crosses paths with a young girl Olivia, and forms an unlikely bond. But what happens when Rabia goes missing one day?"
69630,United Kingdom,Drama,movie,National Theatre Live: A Streetcar Named Desire,180.0,2014,1064,8.3,"As Blanche's fragile world crumbles, she turns to her sister Stella for solace - but her downward spiral brings her face to face with the brutal, unforgiving Stanley Kowalski."
68944,Canada,Drama,movie,Orderers,109.0,1974,1098,8.1,A fact-based account of ordinary citizens who found themselves arrested and imprisoned without charge for weeks during the October Crisis in 1970 Quebec.
69089,United States,Drama,movie,Sporting Chance,-1.0,-1,1091,8.8,Failed series pilot about a former football player who finds himself at odds with the new team owner.
69124,Japan,Drama,movie,Under the Flag of the Rising Sun,96.0,1972,1089,8.0,One woman's search to find the truth about her husband's death in World War II.
69126,India,Drama,movie,Dombivli Fast,108.0,2005,1089,8.0,A common man fights against the corruption and injustice happening around him.
69357,United States,Drama,movie,The Missiles of October,150.0,-1,1077,8.1,"In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis."
68493,India,Drama,movie,Naal,117.0,2018,1120,8.2,"NAAL is the story of Chaitanya, an eight-year-old mischievous boy. Living in a remote village in Maharashtra, along the banks of a river, he is fathered by a small-time landlord and ...                 »
"
68543,India,Drama,movie,Nagara Haavu,184.0,1972,1118,9.1,"This is the tale of an angry young man with flavours of Teacher-student relationship, the stubbornness of Ramachari(protagonist) and his attempts at having a romantic relationship."
68624,India,Drama,movie,IPL (It's Pure Love),133.0,2023,1114,8.6,"Add a Plot
"
68717,Japan,Drama,movie,Operation Proposal Special,-1.0,-1,1110,8.0,Aftermath the last final decision that affect every people's life around them. What is gonna happen to our beloved childhood friend?
68789,India,Drama,movie,Kranthiveera Sangolli Rayanna,180.0,2012,1106,8.0,Life saga of Indian brave freedom fighter Sangolli Rayanna against British...
68002,India,Drama,movie,Swayamvada,131.0,2019,1145,8.5,"Swayamvada is a psychological thriller centered on a rare disease which inflicts pain not only on the affected, but also the family members of the affected. The movie explores the love of ...                 »
"
68023,United Kingdom,Drama,movie,National Theatre Live: Prima Facie,120.0,2022,1143,9.3,"Tessa is a young, brilliant barrister. From working class origins, she has reached the top of her game. An unexpected event forces her to confront the lines where the patriarchal power of the law, burden of proof and morals diverge."
68144,India,Drama,movie,Etharkum Thuninthavan,117.0,1977,1138,8.0,Tamil musical drama with Pandari Bai.
68198,India,Drama,movie,Religion,105.0,2007,1135,8.0,"When a priest's wife brings home an orphan boy, her husband is against it. Over time, he develops a connection with him, but is shocked when he finds out the boy's religion."
68239,India,Drama,movie,Nadiya Ke Paar,143.0,1982,1133,8.1,"Chandan and Gunja, who hails from a village across the river, fall in love with each other. After her sister dies, Gunja is compelled to marry her brother-in-law who is Chandan's brother."
67411,India,Drama,movie,Pathinaru Vayathinile,139.0,1977,1176,8.0,The movie revolves around the struggle and vulnerability of 16-year old Mayil (Sridevi) when in love.
